"ChEBI_ID","FoldChange"
"CHEBI:15570",0.955673758865248
"CHEBI:16414",1.0171178343949
"CHEBI:17895",1.04801670146138
"CHEBI:171154",0.983505154639175
"CHEBI:16523",1.29251101321586
"CHEBI:17191",0.975113122171946
"CHEBI:16855",1.69242658423493
"CHEBI:17061",1.373046875
"CHEBI:16398",1.23933209647495
"CHEBI:17016",1.12896405919662
"CHEBI:16296",0.979955456570155
"CHEBI:15354",1.01052631578947
"CHEBI:16313",1.22029372496662
"CHEBI:16919",0.816223067173636
"CHEBI:16708",1.01001112347052
"CHEBI:15971",1.18996415770609
"CHEBI:16998",1.00435097897027
"CHEBI:15603",1.07984293193717
"CHEBI:16643",0.957627118644068
"CHEBI:50048",0.994538834951456
"CHEBI:16946",1.25526315789474
"CHEBI:15724",0.960893854748603
"CHEBI:49105",1.02873986735446
"CHEBI:17562",0.97702205882353
"CHEBI:16040",0.731182795698924
"CHEBI:16750",1.00189393939394
"CHEBI:17821",1.00220750551877
"CHEBI:17568",0.934939759036145
"CHEBI:17748",0.853698630136986
"CHEBI:16704",0.571756075194865
"CHEBI:16335",0.80340425531915
"CHEBI:16737",0.916482545293858
"CHEBI:17368",0.575757575757576
"CHEBI:17596",1.0595021250759
"CHEBI:15891",0.330479932641033
"CHEBI:24996",0.962500000000001
"CHEBI:15361",1.05434782608696
"CHEBI:15966",0.992647058823531
"CHEBI:17053",0.928897586431833
"CHEBI:16349",0.610108303249097
